length	num_GC	number_of_fragments
48	0	782582
48	1	841822
48	2	1233304
48	3	1796180
48	4	3005746
48	5	5433698
48	6	10296896
48	7	19103986
48	8	33834750
48	9	56220226
48	10	87026592
48	11	125572864
48	12	169578528
48	13	214794448
48	14	257506616
48	15	294117234
48	16	321405316
48	17	337197602
48	18	340553350
48	19	331740294
48	20	312950580
48	21	288070744
48	22	260805030
48	23	234828226
48	24	213153474
48	25	196524532
48	26	182915278
48	27	167389860
48	28	145371778
48	29	116216450
48	30	84739228
48	31	57323158
48	32	37161672
48	33	23781850
48	34	15245466
48	35	9804988
48	36	6352698
48	37	4223604
48	38	2953144
48	39	2148066
48	40	1528482
48	41	982448
48	42	565696
48	43	305368
48	44	155830
48	45	69576
48	46	27914
48	47	9516
48	48	3248
