length	num_GC	number_of_fragments
241	0	37970
241	1	34159
241	2	37791
241	3	47420
241	4	45168
241	5	49824
241	6	55488
241	7	56221
241	8	60927
241	9	60681
241	10	64971
241	11	68306
241	12	68532
241	13	67983
241	14	66607
241	15	68041
241	16	69105
241	17	70864
241	18	71873
241	19	71545
241	20	73550
241	21	75993
241	22	75285
241	23	78135
241	24	82997
241	25	83328
241	26	86640
241	27	92638
241	28	96505
241	29	102489
241	30	105812
241	31	109632
241	32	118010
241	33	126497
241	34	136877
241	35	148422
241	36	163322
241	37	178464
241	38	197117
241	39	223174
241	40	255449
241	41	297494
241	42	352638
241	43	428459
241	44	522394
241	45	653690
241	46	820914
241	47	1033197
241	48	1309962
241	49	1675972
241	50	2120957
241	51	2695938
241	52	3410530
241	53	4267982
241	54	5314985
241	55	6562337
241	56	8027447
241	57	9707812
241	58	11666087
241	59	13846171
241	60	16273094
241	61	18943619
241	62	21820956
241	63	24926722
241	64	28237159
241	65	31666239
241	66	35233631
241	67	38873828
241	68	42530051
241	69	46220196
241	70	49899340
241	71	53539758
241	72	57088944
241	73	60541965
241	74	63852356
241	75	67069686
241	76	70161959
241	77	73102197
241	78	75888300
241	79	78480443
241	80	80810524
241	81	82950197
241	82	84922062
241	83	86622846
241	84	88090962
241	85	89333668
241	86	90338230
241	87	91099143
241	88	91608852
241	89	91848718
241	90	91804780
241	91	91420690
241	92	90721020
241	93	89806623
241	94	88804410
241	95	87691929
241	96	86492052
241	97	85261225
241	98	83974837
241	99	82678922
241	100	81314034
241	101	79911080
241	102	78556843
241	103	77255175
241	104	75955595
241	105	74736957
241	106	73475240
241	107	72200198
241	108	70904773
241	109	69561020
241	110	68219475
241	111	66813492
241	112	65264347
241	113	63614467
241	114	61926465
241	115	60155484
241	116	58363835
241	117	56546369
241	118	54754110
241	119	52934224
241	120	51148045
241	121	49364410
241	122	47598284
241	123	45912651
241	124	44225311
241	125	42608147
241	126	40950092
241	127	39277257
241	128	37516140
241	129	35655221
241	130	33626589
241	131	31437916
241	132	29143458
241	133	26848962
241	134	24570240
241	135	22428141
241	136	20456809
241	137	18669979
241	138	17071622
241	139	15656254
241	140	14406151
241	141	13264401
241	142	12273445
241	143	11392125
241	144	10618806
241	145	9906559
241	146	9263784
241	147	8677673
241	148	8136631
241	149	7629526
241	150	7133405
241	151	6690202
241	152	6251045
241	153	5807502
241	154	5396859
241	155	5019190
241	156	4651645
241	157	4280004
241	158	3932216
241	159	3611792
241	160	3298694
241	161	3004894
241	162	2745188
241	163	2513806
241	164	2295577
241	165	2098679
241	166	1917977
241	167	1761304
241	168	1632469
241	169	1514082
241	170	1406343
241	171	1308999
241	172	1216156
241	173	1134641
241	174	1059351
241	175	990268
241	176	924376
241	177	863088
241	178	807764
241	179	754928
241	180	714069
241	181	670681
241	182	624770
241	183	589541
241	184	555630
241	185	522857
241	186	491356
241	187	462029
241	188	441018
241	189	418889
241	190	398097
241	191	376627
241	192	356496
241	193	328001
241	194	298038
241	195	264882
241	196	234898
241	197	201997
241	198	171472
241	199	143365
241	200	122141
241	201	104487
241	202	87902
241	203	73165
241	204	61140
241	205	50939
241	206	42075
241	207	33019
241	208	27791
241	209	22032
241	210	18182
241	211	14220
241	212	10834
241	213	7901
241	214	5733
241	215	4601
241	216	3598
241	217	2492
241	218	1789
241	219	1504
241	220	1546
241	221	1123
241	222	909
241	223	713
241	224	503
241	225	312
241	226	330
241	227	178
241	228	141
241	229	173
241	230	54
241	231	49
241	232	57
241	233	57
241	234	0
241	235	0
241	236	0
241	237	0
241	238	0
241	239	0
241	240	0
241	241	0
