length	num_GC	number_of_fragments
492	0	2451
492	1	3587
492	2	5510
492	3	6937
492	4	6517
492	5	7419
492	6	9048
492	7	9153
492	8	9416
492	9	10900
492	10	13592
492	11	13421
492	12	12986
492	13	15848
492	14	16374
492	15	16523
492	16	17282
492	17	17707
492	18	20232
492	19	20456
492	20	19656
492	21	19487
492	22	19663
492	23	20273
492	24	20041
492	25	20383
492	26	20764
492	27	20552
492	28	19695
492	29	20147
492	30	20375
492	31	20638
492	32	20009
492	33	19972
492	34	21277
492	35	21110
492	36	21714
492	37	22242
492	38	21419
492	39	21029
492	40	21793
492	41	22018
492	42	23284
492	43	24781
492	44	24513
492	45	24323
492	46	23369
492	47	24136
492	48	24718
492	49	24949
492	50	25471
492	51	27061
492	52	26994
492	53	26777
492	54	26323
492	55	27078
492	56	27744
492	57	28346
492	58	28191
492	59	28047
492	60	29083
492	61	29518
492	62	30455
492	63	31427
492	64	32486
492	65	32364
492	66	33278
492	67	33960
492	68	35590
492	69	36222
492	70	36955
492	71	37064
492	72	37297
492	73	38725
492	74	39782
492	75	40494
492	76	42508
492	77	43215
492	78	44653
492	79	47414
492	80	48898
492	81	49919
492	82	51954
492	83	53749
492	84	56926
492	85	60580
492	86	61264
492	87	63605
492	88	66141
492	89	68065
492	90	72305
492	91	77720
492	92	81676
492	93	86707
492	94	93259
492	95	102611
492	96	109074
492	97	118911
492	98	129361
492	99	144193
492	100	164136
492	101	184752
492	102	206692
492	103	236575
492	104	272502
492	105	313216
492	106	362820
492	107	417430
492	108	483780
492	109	565661
492	110	655661
492	111	752505
492	112	870303
492	113	1004850
492	114	1167039
492	115	1348381
492	116	1545451
492	117	1777062
492	118	2034048
492	119	2311942
492	120	2628604
492	121	2972291
492	122	3343784
492	123	3757590
492	124	4231431
492	125	4721981
492	126	5265518
492	127	5845920
492	128	6469436
492	129	7126017
492	130	7827104
492	131	8587323
492	132	9377651
492	133	10210447
492	134	11067377
492	135	11962425
492	136	12902994
492	137	13841783
492	138	14839605
492	139	15846692
492	140	16888747
492	141	17954805
492	142	19018594
492	143	20114657
492	144	21213051
492	145	22325589
492	146	23438414
492	147	24520924
492	148	25611408
492	149	26740663
492	150	27832732
492	151	28896183
492	152	29965454
492	153	31010737
492	154	32043468
492	155	33061016
492	156	34086644
492	157	35080958
492	158	36050877
492	159	37041241
492	160	38004844
492	161	38899749
492	162	39733718
492	163	40538374
492	164	41349945
492	165	42185981
492	166	42924237
492	167	43656549
492	168	44389135
492	169	45059562
492	170	45681107
492	171	46324103
492	172	46883796
492	173	47398609
492	174	47882341
492	175	48374541
492	176	48787457
492	177	49169225
492	178	49527379
492	179	49822215
492	180	50061520
492	181	50301722
492	182	50497826
492	183	50640889
492	184	50717891
492	185	50753350
492	186	50831527
492	187	50901919
492	188	50911201
492	189	50846218
492	190	50779701
492	191	50708579
492	192	50567408
492	193	50344944
492	194	50100442
492	195	49829806
492	196	49476402
492	197	49088626
492	198	48662600
492	199	48305505
492	200	47964290
492	201	47663269
492	202	47430713
492	203	47224687
492	204	47055611
492	205	46870627
492	206	46666438
492	207	46445783
492	208	46213156
492	209	45958252
492	210	45678893
492	211	45336299
492	212	44966595
492	213	44580391
