length	num_GC	number_of_fragments
173	0	80912
173	1	66489
173	2	76213
173	3	84705
173	4	85255
173	5	94980
173	6	99803
173	7	105198
173	8	111001
173	9	112680
173	10	116846
173	11	115617
173	12	115245
173	13	120483
173	14	124707
173	15	132075
173	16	137381
173	17	145284
173	18	151508
173	19	164693
173	20	180226
173	21	198174
173	22	217205
173	23	239975
173	24	276234
173	25	322700
173	26	386825
173	27	469965
173	28	595871
173	29	763815
173	30	995766
173	31	1327121
173	32	1788380
173	33	2406307
173	34	3234363
173	35	4352156
173	36	5760194
173	37	7562883
173	38	9797083
173	39	12496081
173	40	15768941
173	41	19551928
173	42	23885099
173	43	28723479
173	44	34014422
173	45	39762929
173	46	45849697
173	47	52202373
173	48	58669664
173	49	65076109
173	50	71479859
173	51	77691919
173	52	83654272
173	53	89227631
173	54	94514636
173	55	99394937
173	56	103897937
173	57	107879411
173	58	111335145
173	59	114339016
173	60	116871516
173	61	118682193
173	62	119969752
173	63	120574537
173	64	120521712
173	65	119782711
173	66	118406866
173	67	116598218
173	68	114318240
173	69	111828121
173	70	109202448
173	71	106467604
173	72	103757895
173	73	101191932
173	74	98657008
173	75	96149245
173	76	93690747
173	77	91365879
173	78	89121556
173	79	87000151
173	80	85034181
173	81	83188218
173	82	81500452
173	83	79977989
173	84	78603957
173	85	77298728
173	86	76040718
173	87	74713263
173	88	73069255
173	89	70954792
173	90	67990065
173	91	64097999
173	92	59300206
173	93	53881680
173	94	48282168
173	95	42822256
173	96	37723653
173	97	33202497
173	98	29244983
173	99	25923258
173	100	23076902
173	101	20665657
173	102	18587970
173	103	16824750
173	104	15306015
173	105	13945660
173	106	12730272
173	107	11647890
173	108	10615863
173	109	9656760
173	110	8786741
173	111	7968460
173	112	7194125
173	113	6456634
173	114	5764856
173	115	5115974
173	116	4527678
173	117	4004462
173	118	3540725
173	119	3122327
173	120	2763947
173	121	2466929
173	122	2201429
173	123	1964244
173	124	1767770
173	125	1591921
173	126	1436713
173	127	1294237
173	128	1177603
173	129	1075950
173	130	985800
173	131	911368
173	132	847884
173	133	788348
173	134	724809
173	135	680746
173	136	637421
173	137	588502
173	138	540853
173	139	485897
173	140	423436
173	141	357352
173	142	302358
173	143	253243
173	144	208723
173	145	171496
173	146	137105
173	147	108959
173	148	83800
173	149	66423
173	150	50299
173	151	37883
173	152	28889
173	153	21999
173	154	15152
173	155	11243
173	156	7544
173	157	5828
173	158	4389
173	159	2775
173	160	2044
173	161	1367
173	162	984
173	163	635
173	164	372
173	165	217
173	166	151
173	167	229
173	168	60
173	169	6
173	170	15
173	171	37
173	172	10
173	173	3
