length	num_GC	number_of_fragments
186	0	69726
186	1	57497
186	2	67068
186	3	74255
186	4	76028
186	5	82683
186	6	88371
186	7	90765
186	8	97764
186	9	99838
186	10	102011
186	11	104203
186	12	103504
186	13	103721
186	14	107347
186	15	109542
186	16	114659
186	17	121290
186	18	124619
186	19	131402
186	20	139060
186	21	149289
186	22	161623
186	23	174149
186	24	191976
186	25	209304
186	26	237831
186	27	271465
186	28	317833
186	29	381045
186	30	464512
186	31	577569
186	32	733636
186	33	952888
186	34	1251105
186	35	1660998
186	36	2216601
186	37	2948616
186	38	3891345
186	39	5096854
186	40	6633839
186	41	8524566
186	42	10809590
186	43	13523128
186	44	16703441
186	45	20365655
186	46	24430859
186	47	28921155
186	48	33786891
186	49	38998046
186	50	44476177
186	51	50169063
186	52	55863502
186	53	61597005
186	54	67272448
186	55	72730602
186	56	78024043
186	57	83010620
186	58	87767549
186	59	92212262
186	60	96331567
186	61	100019083
186	62	103288264
186	63	106155474
186	64	108597357
186	65	110564345
186	66	112068613
186	67	113057857
186	68	113508201
186	69	113405881
186	70	112705976
186	71	111493150
186	72	109915675
186	73	108039414
186	74	105967075
186	75	103794700
186	76	101456302
186	77	99111421
186	78	96877115
186	79	94694095
186	80	92476664
186	81	90374660
186	82	88348200
186	83	86386011
186	84	84476992
186	85	82735615
186	86	81027846
186	87	79374322
186	88	77667899
186	89	75911123
186	90	74130138
186	91	72333204
186	92	70554184
186	93	68706314
186	94	66915327
186	95	64980729
186	96	62842175
186	97	60244240
186	98	57043501
186	99	53273027
186	100	48980803
186	101	44429703
186	102	39912795
186	103	35604276
186	104	31588690
186	105	28048674
186	106	24977140
186	107	22297818
186	108	20001316
186	109	18037137
186	110	16346623
186	111	14922548
186	112	13676344
186	113	12550909
186	114	11535516
186	115	10605594
186	116	9749373
186	117	8937210
186	118	8176332
186	119	7470674
186	120	6788146
186	121	6143353
186	122	5544801
186	123	4978626
186	124	4444457
186	125	3961721
186	126	3524027
186	127	3135824
186	128	2803340
186	129	2498888
186	130	2249984
186	131	2026925
186	132	1830100
186	133	1653701
186	134	1503713
186	135	1369652
186	136	1247735
186	137	1141969
186	138	1040706
186	139	963110
186	140	895603
186	141	829954
186	142	767323
186	143	714480
186	144	668320
186	145	622278
186	146	580156
186	147	548989
186	148	508990
186	149	462370
186	150	411059
186	151	359275
186	152	306106
186	153	254311
186	154	212420
186	155	176302
186	156	147005
186	157	117246
186	158	94174
186	159	72906
186	160	58595
186	161	45018
186	162	34284
186	163	26911
186	164	21965
186	165	14538
186	166	10982
186	167	7307
186	168	5527
186	169	4207
186	170	3175
186	171	2158
186	172	1629
186	173	1220
186	174	791
186	175	588
186	176	316
186	177	147
186	178	167
186	179	177
186	180	128
186	181	9
186	182	10
186	183	22
186	184	10
186	185	0
186	186	0
