length	num_GC	number_of_fragments
282	0	25147
282	1	23316
282	2	26100
282	3	33288
282	4	32306
282	5	37997
282	6	37514
282	7	42103
282	8	44648
282	9	46588
282	10	47103
282	11	49999
282	12	51304
282	13	50907
282	14	53878
282	15	53863
282	16	52619
282	17	51890
282	18	52619
282	19	53934
282	20	53792
282	21	56091
282	22	55675
282	23	55994
282	24	59294
282	25	61289
282	26	57386
282	27	60798
282	28	61710
282	29	63551
282	30	64751
282	31	68216
282	32	72766
282	33	74998
282	34	76047
282	35	77645
282	36	82566
282	37	84947
282	38	90667
282	39	93294
282	40	99520
282	41	104907
282	42	113057
282	43	121929
282	44	132449
282	45	142996
282	46	158274
282	47	174853
282	48	192680
282	49	217703
282	50	251402
282	51	290592
282	52	343981
282	53	410249
282	54	498904
282	55	613100
282	56	761751
282	57	942345
282	58	1164301
282	59	1448572
282	60	1799203
282	61	2224600
282	62	2749168
282	63	3381090
282	64	4140129
282	65	5005654
282	66	6016085
282	67	7188747
282	68	8515317
282	69	10024873
282	70	11687139
282	71	13518331
282	72	15522034
282	73	17686146
282	74	20002919
282	75	22416410
282	76	24975627
282	77	27626538
282	78	30350892
282	79	33092513
282	80	35884806
282	81	38707614
282	82	41503079
282	83	44304609
282	84	47076873
282	85	49737649
282	86	52441795
282	87	55020864
282	88	57523221
282	89	59961892
282	90	62322736
282	91	64578371
282	92	66649823
282	93	68649146
282	94	70544520
282	95	72298768
282	96	73889984
282	97	75269841
282	98	76541374
282	99	77593962
282	100	78536742
282	101	79318995
282	102	79985817
282	103	80520658
282	104	80881236
282	105	80951300
282	106	80862501
282	107	80516428
282	108	79961187
282	109	79238126
282	110	78493942
282	111	77621675
282	112	76709697
282	113	75762368
282	114	74701899
282	115	73721704
282	116	72687510
282	117	71693433
282	118	70657284
282	119	69642842
282	120	68649470
282	121	67659204
282	122	66676357
282	123	65726314
282	124	64728703
282	125	63747623
282	126	62697591
282	127	61595812
282	128	60483586
282	129	59271462
282	130	57978367
282	131	56685440
282	132	55353295
282	133	54002539
282	134	52673539
282	135	51305430
282	136	50024823
282	137	48754523
282	138	47509366
282	139	46288116
282	140	45029563
282	141	43721919
282	142	42386256
282	143	41002710
282	144	39528974
282	145	38005511
282	146	36448133
282	147	34836368
282	148	33189109
282	149	31536423
282	150	29874434
282	151	28222819
282	152	26539366
282	153	24881612
282	154	23248861
282	155	21648214
282	156	20103626
282	157	18660971
282	158	17306673
282	159	16044323
282	160	14905832
282	161	13864181
282	162	12928877
282	163	12091001
282	164	11308014
282	165	10602446
282	166	9963063
282	167	9381474
282	168	8863219
282	169	8368040
282	170	7901227
282	171	7485635
282	172	7083879
282	173	6714079
282	174	6380534
282	175	6043110
282	176	5716588
282	177	5382213
282	178	5070035
282	179	4760729
282	180	4465268
282	181	4200512
282	182	3927279
282	183	3678150
282	184	3415724
282	185	3161195
282	186	2932268
282	187	2716205
282	188	2509476
282	189	2324099
282	190	2149366
282	191	1995385
282	192	1843242
282	193	1703624
282	194	1579361
282	195	1466707
282	196	1366889
282	197	1278325
282	198	1199966
282	199	1131532
282	200	1064778
282	201	1010592
282	202	954618
282	203	900103
282	204	851801
282	205	806680
282	206	760657
282	207	714573
282	208	683004
282	209	647559
282	210	611398
282	211	572827
282	212	543264
282	213	514451
282	214	487464
282	215	461867
282	216	440122
282	217	416797
282	218	393382
282	219	371311
282	220	355829
282	221	342509
282	222	327476
282	223	310457
282	224	293412
282	225	278300
282	226	259097
282	227	236974
282	228	213010
282	229	188032
282	230	166202
282	231	144252
282	232	125441
282	233	106033
282	234	89010
282	235	76197
282	236	66100
282	237	56960
282	238	48529
282	239	41117
282	240	35255
282	241	29159
282	242	23695
282	243	20182
282	244	16416
282	245	13640
282	246	10159
282	247	8713
282	248	6024
282	249	4877
282	250	4104
282	251	3465
282	252	2066
282	253	1752
282	254	1438
282	255	1119
282	256	947
282	257	806
282	258	760
282	259	601
282	260	389
282	261	297
282	262	391
282	263	248
282	264	291
282	265	215
282	266	59
282	267	92
282	268	59
282	269	21
282	270	44
282	271	40
282	272	28
282	273	8
282	274	0
282	275	0
282	276	0
282	277	0
282	278	0
282	279	0
282	280	0
282	281	0
282	282	0
