length	num_GC	number_of_fragments
236	0	40107
236	1	35659
236	2	39772
236	3	49360
236	4	46959
236	5	52107
236	6	57750
236	7	58719
236	8	63333
236	9	62878
236	10	67792
236	11	71028
236	12	71151
236	13	70107
236	14	68684
236	15	70975
236	16	71292
236	17	74594
236	18	73684
236	19	74827
236	20	76613
236	21	79018
236	22	78262
236	23	83182
236	24	86762
236	25	88824
236	26	93309
236	27	98912
236	28	103501
236	29	108297
236	30	112242
236	31	119237
236	32	130419
236	33	138226
236	34	152776
236	35	166983
236	36	183327
236	37	203342
236	38	227547
236	39	265627
236	40	309238
236	41	370098
236	42	444434
236	43	550533
236	44	691479
236	45	872593
236	46	1097375
236	47	1404874
236	48	1793156
236	49	2290290
236	50	2901654
236	51	3679384
236	52	4621639
236	53	5759647
236	54	7116138
236	55	8688837
236	56	10521047
236	57	12632371
236	58	14973769
236	59	17578157
236	60	20413144
236	61	23506706
236	62	26806029
236	63	30308084
236	64	33925393
236	65	37640769
236	66	41434684
236	67	45239601
236	68	49094502
236	69	52884067
236	70	56590472
236	71	60222845
236	72	63705409
236	73	67061347
236	74	70350195
236	75	73437628
236	76	76366838
236	77	79105657
236	78	81608713
236	79	83852429
236	80	85946570
236	81	87763085
236	82	89357957
236	83	90666741
236	84	91728069
236	85	92548374
236	86	93156686
236	87	93387724
236	88	93349798
236	89	93004954
236	90	92298827
236	91	91388897
236	92	90367877
236	93	89191417
236	94	87899509
236	95	86632612
236	96	85311813
236	97	83952754
236	98	82531709
236	99	81122606
236	100	79710280
236	101	78315698
236	102	77024805
236	103	75752563
236	104	74418139
236	105	73084217
236	106	71742216
236	107	70374879
236	108	68976656
236	109	67488815
236	110	65901171
236	111	64215124
236	112	62465218
236	113	60657212
236	114	58836392
236	115	56936267
236	116	55096327
236	117	53247676
236	118	51394561
236	119	49608776
236	120	47857389
236	121	46105068
236	122	44413612
236	123	42710358
236	124	41029255
236	125	39243867
236	126	37340850
236	127	35284029
236	128	33015002
236	129	30644920
236	130	28238364
236	131	25823341
236	132	23519291
236	133	21429087
236	134	19529792
236	135	17795267
236	136	16289633
236	137	14940742
236	138	13734930
236	139	12670158
236	140	11742517
236	141	10915880
236	142	10173483
236	143	9501641
236	144	8882493
236	145	8320148
236	146	7781316
236	147	7281387
236	148	6808470
236	149	6345436
236	150	5889855
236	151	5468995
236	152	5073089
236	153	4683696
236	154	4298867
236	155	3953267
236	156	3618344
236	157	3289755
236	158	2999217
236	159	2731774
236	160	2492501
236	161	2281355
236	162	2077789
236	163	1904011
236	164	1747053
236	165	1613313
236	166	1501510
236	167	1390503
236	168	1290041
236	169	1200424
236	170	1117014
236	171	1043314
236	172	969433
236	173	905180
236	174	846188
236	175	788618
236	176	742453
236	177	701076
236	178	653043
236	179	610768
236	180	577012
236	181	539213
236	182	508351
236	183	480728
236	184	456552
236	185	432012
236	186	409367
236	187	389446
236	188	367195
236	189	339204
236	190	305133
236	191	272851
236	192	238691
236	193	207148
236	194	174208
236	195	146632
236	196	124304
236	197	104913
236	198	88092
236	199	74669
236	200	60650
236	201	50959
236	202	41654
236	203	33058
236	204	26712
236	205	21822
236	206	17401
236	207	13685
236	208	10390
236	209	7516
236	210	5635
236	211	4349
236	212	3390
236	213	2303
236	214	1606
236	215	1645
236	216	1445
236	217	1030
236	218	839
236	219	650
236	220	327
236	221	409
236	222	215
236	223	136
236	224	212
236	225	82
236	226	51
236	227	45
236	228	80
236	229	1
236	230	0
236	231	0
236	232	0
236	233	0
236	234	0
236	235	0
236	236	0
