length	num_GC	number_of_fragments
80	0	23439
80	1	31487
80	2	43349
80	3	57972
80	4	76495
80	5	99439
80	6	139490
80	7	199469
80	8	297114
80	9	458549
80	10	729331
80	11	1175462
80	12	1910178
80	13	3063299
80	14	4801556
80	15	7283865
80	16	10664425
80	17	15049338
80	18	20420401
80	19	26640105
80	20	33488017
80	21	40652463
80	22	47714514
80	23	54371941
80	24	60287037
80	25	65196081
80	26	68945515
80	27	71457025
80	28	72825000
80	29	73007708
80	30	72124989
80	31	70322167
80	32	67776860
80	33	64649784
80	34	61118770
80	35	57314991
80	36	53367971
80	37	49426998
80	38	45549374
80	39	41840558
80	40	38391285
80	41	35182493
80	42	32215999
80	43	29491575
80	44	26933752
80	45	24517746
80	46	22194383
80	47	19932507
80	48	17704780
80	49	15509798
80	50	13386464
80	51	11371468
80	52	9498371
80	53	7774182
80	54	6235296
80	55	4904134
80	56	3799423
80	57	2911677
80	58	2225410
80	59	1729908
80	60	1373969
80	61	1118677
80	62	930238
80	63	779100
80	64	646550
80	65	526525
80	66	418417
80	67	314699
80	68	231381
80	69	159954
80	70	106189
80	71	68502
80	72	41501
80	73	23730
80	74	12800
80	75	6173
80	76	2769
80	77	1184
80	78	542
80	79	193
80	80	109
