length	num_GC	number_of_fragments
105	0	17070
105	1	20632
105	2	23989
105	3	30086
105	4	38056
105	5	44551
105	6	51819
105	7	59531
105	8	73539
105	9	90109
105	10	117870
105	11	153327
105	12	206613
105	13	288409
105	14	414937
105	15	606313
105	16	906018
105	17	1357726
105	18	2028508
105	19	2985249
105	20	4330486
105	21	6143510
105	22	8466983
105	23	11365695
105	24	14853046
105	25	18883676
105	26	23400954
105	27	28201100
105	28	33182948
105	29	38165825
105	30	42954843
105	31	47424299
105	32	51405420
105	33	54806002
105	34	57600893
105	35	59716450
105	36	61114837
105	37	61874419
105	38	62015281
105	39	61527011
105	40	60546186
105	41	59079434
105	42	57253722
105	43	55160693
105	44	52861824
105	45	50404953
105	46	47853743
105	47	45293511
105	48	42725693
105	49	40202045
105	50	37709864
105	51	35305095
105	52	32977160
105	53	30711055
105	54	28610588
105	55	26612366
105	56	24711303
105	57	22928460
105	58	21238347
105	59	19611258
105	60	18037333
105	61	16505485
105	62	14978828
105	63	13480212
105	64	12046648
105	65	10685824
105	66	9409348
105	67	8223390
105	68	7100177
105	69	6068342
105	70	5127417
105	71	4266160
105	72	3505209
105	73	2851786
105	74	2312264
105	75	1872098
105	76	1537546
105	77	1275377
105	78	1084290
105	79	938597
105	80	822316
105	81	722627
105	82	637365
105	83	557838
105	84	481064
105	85	409473
105	86	338483
105	87	275065
105	88	218859
105	89	167087
105	90	125020
105	91	88026
105	92	60873
105	93	42162
105	94	26706
105	95	17511
105	96	10379
105	97	6118
105	98	3461
105	99	1675
105	100	808
105	101	320
105	102	223
105	103	82
105	104	37
105	105	65
