length	num_GC	number_of_fragments
471	0	1301
471	1	1386
471	2	1493
471	3	2946
471	4	2972
471	5	4610
471	6	3713
471	7	2879
471	8	3424
471	9	3913
471	10	4638
471	11	4880
471	12	5222
471	13	6152
471	14	5841
471	15	5882
471	16	5066
471	17	5909
471	18	6674
471	19	7598
471	20	7939
471	21	8145
471	22	8349
471	23	8707
471	24	9064
471	25	8881
471	26	8433
471	27	7765
471	28	8210
471	29	8288
471	30	8926
471	31	8890
471	32	8605
471	33	9971
471	34	10911
471	35	11155
471	36	11095
471	37	11048
471	38	11059
471	39	11849
471	40	12242
471	41	13755
471	42	14690
471	43	14278
471	44	13948
471	45	14581
471	46	14341
471	47	14993
471	48	15891
471	49	15889
471	50	16422
471	51	16893
471	52	17174
471	53	18354
471	54	20257
471	55	19246
471	56	19649
471	57	20165
471	58	20305
471	59	21194
471	60	21626
471	61	22171
471	62	22283
471	63	22499
471	64	23257
471	65	23396
471	66	25077
471	67	25857
471	68	26164
471	69	26634
471	70	27819
471	71	29302
471	72	30458
471	73	30930
471	74	33149
471	75	34709
471	76	35962
471	77	37045
471	78	38490
471	79	41558
471	80	43283
471	81	44990
471	82	46495
471	83	49892
471	84	52618
471	85	56599
471	86	58525
471	87	64265
471	88	67949
471	89	72529
471	90	78656
471	91	86991
471	92	94977
471	93	106730
471	94	119042
471	95	133817
471	96	150851
471	97	172002
471	98	195208
471	99	222650
471	100	253919
471	101	292986
471	102	339695
471	103	394858
471	104	452512
471	105	519320
471	106	602472
471	107	693581
471	108	797479
471	109	917076
471	110	1050903
471	111	1201360
471	112	1365720
471	113	1556149
471	114	1762846
471	115	1987202
471	116	2227243
471	117	2498200
471	118	2782568
471	119	3087807
471	120	3435296
471	121	3802176
471	122	4191838
471	123	4622251
471	124	5056370
471	125	5509191
471	126	5999001
471	127	6505441
471	128	7036920
471	129	7598660
471	130	8164205
471	131	8746475
471	132	9350838
471	133	9985620
471	134	10630824
471	135	11290805
471	136	11967739
471	137	12668306
471	138	13352448
471	139	14022093
471	140	14702393
471	141	15410103
471	142	16122481
471	143	16818901
471	144	17508007
471	145	18205530
471	146	18873978
471	147	19570720
471	148	20248187
471	149	20887992
471	150	21558217
471	151	22236565
471	152	22856905
471	153	23446300
471	154	24042933
471	155	24632166
471	156	25189039
471	157	25743464
471	158	26249459
471	159	26734757
471	160	27200663
471	161	27649156
471	162	28066695
471	163	28481438
471	164	28850057
471	165	29200177
471	166	29518076
471	167	29800411
471	168	30056148
471	169	30272659
471	170	30522611
471	171	30742719
471	172	30903982
471	173	31041759
471	174	31154218
471	175	31227681
471	176	31306190
471	177	31355074
471	178	31385086
471	179	31422419
471	180	31424396
471	181	31435776
471	182	31452640
471	183	31415064
471	184	31406971
471	185	31381208
471	186	31332669
471	187	31237983
471	188	31173805
471	189	31095662
471	190	30987152
471	191	30913013
471	192	30826813
471	193	30745102
471	194	30671596
471	195	30579782
471	196	30455216
471	197	30350260
471	198	30239956
471	199	30103909
471	200	29953595
471	201	29816581
471	202	29634009
471	203	29453631
471	204	29251453
471	205	29015066
471	206	28793453
471	207	28533114
471	208	28238633
471	209	27920791
471	210	27618393
471	211	27266927
471	212	26894706
471	213	26509139
471	214	26093493
471	215	25672379
471	216	25200445
471	217	24741938
471	218	24256176
471	219	23785013
471	220	23279330
471	221	22785414
471	222	22303583
471	223	21795381
471	224	21277777
471	225	20749797
471	226	20254937
471	227	19743519
471	228	19210101
471	229	18703277
471	230	18201110
471	231	17699315
471	232	17208380
471	233	16688093
471	234	16179785
471	235	15687042
471	236	15184640
471	237	14692514
471	238	14206306
471	239	13725687
471	240	13245300
471	241	12785181
471	242	12323620
471	243	11874046
471	244	11432807
471	245	10991759
471	246	10569834
471	247	10164299
471	248	9753291
471	249	9361890
471	250	8982712
471	251	8639477
471	252	8315281
471	253	7976707
471	254	7676543
471	255	7391846
471	256	7106812
471	257	6846652
471	258	6603370
471	259	6382765
471	260	6165775
471	261	5951868
471	262	5759141
471	263	5568424
471	264	5395820
471	265	5220946
471	266	5059417
471	267	4909901
471	268	4765819
471	269	4621269
471	270	4494648
471	271	4358405
471	272	4234013
471	273	4107708
471	274	3997508
471	275	3892807
471	276	3783267
471	277	3679050
471	278	3586658
471	279	3494003
471	280	3408792
471	281	3308580
471	282	3214125
471	283	3118691
471	284	3033705
471	285	2939669
471	286	2848993
471	287	2767099
471	288	2681165
471	289	2601346
471	290	2518715
471	291	2441001
471	292	2359540
471	293	2282771
471	294	2208227
471	295	2124408
471	296	2044820
471	297	1966525
471	298	1897505
471	299	1824502
471	300	1756676
471	301	1693001
471	302	1624412
471	303	1560567
471	304	1498264
471	305	1434404
471	306	1368308
471	307	1301037
471	308	1249901
471	309	1198115
471	310	1147466
471	311	1094944
471	312	1041373
471	313	991021
471	314	950384
471	315	906275
471	316	862327
471	317	827453
471	318	789376
471	319	751879
471	320	718816
471	321	681752
471	322	647006
471	323	614950
471	324	586235
471	325	564139
471	326	547671
471	327	527668
471	328	508557
471	329	485774
471	330	466695
471	331	449316
471	332	430770
471	333	418281
471	334	400701
471	335	388478
471	336	380840
471	337	370250
471	338	360295
471	339	353428
471	340	343492
471	341	336415
471	342	328850
471	343	320868
471	344	308617
471	345	298901
471	346	291528
471	347	283327
471	348	277918
471	349	273028
471	350	266397
471	351	261631
471	352	256913
471	353	249095
471	354	241038
471	355	234107
471	356	228670
471	357	225599
471	358	219341
471	359	213746
471	360	208110
471	361	202370
471	362	194812
471	363	187093
471	364	176661
471	365	170827
471	366	165381
471	367	160579
471	368	152694
471	369	144726
471	370	139842
471	371	133151
471	372	126849
471	373	123851
471	374	116322
471	375	110516
471	376	104696
471	377	99204
471	378	92537
471	379	86193
471	380	79497
471	381	72173
471	382	67007
471	383	60942
471	384	54889
471	385	50999
471	386	47243
471	387	43171
471	388	39390
471	389	35934
471	390	34096
471	391	32880
471	392	30405
471	393	26835
471	394	23829
471	395	20462
471	396	17764
471	397	16560
471	398	14198
471	399	12927
471	400	11282
471	401	9635
471	402	8331
471	403	6944
471	404	5777
471	405	4977
471	406	4223
471	407	3262
471	408	2785
471	409	2575
471	410	2199
471	411	1563
471	412	1301
471	413	1048
471	414	904
471	415	1050
471	416	741
471	417	650
471	418	573
471	419	427
471	420	348
471	421	505
471	422	464
471	423	298
471	424	303
471	425	197
471	426	141
471	427	87
471	428	85
471	429	76
471	430	130
471	431	106
471	432	170
471	433	207
471	434	154
471	435	65
471	436	50
471	437	45
471	438	51
471	439	40
471	440	34
471	441	44
471	442	41
471	443	38
471	444	56
471	445	43
471	446	33
471	447	39
471	448	25
471	449	28
471	450	25
471	451	28
471	452	19
471	453	17
471	454	10
471	455	26
471	456	18
471	457	14
471	458	8
471	459	6
471	460	2
471	461	3
471	462	5
471	463	0
471	464	0
471	465	0
471	466	0
471	467	0
471	468	0
471	469	0
471	470	0
471	471	0
