length	num_GC	number_of_fragments
355	0	2466
355	1	2818
355	2	4255
355	3	5703
355	4	5324
355	5	6225
355	6	5274
355	7	5736
355	8	6014
355	9	6587
355	10	8041
355	11	10233
355	12	9143
355	13	8803
355	14	9273
355	15	9516
355	16	11090
355	17	12452
355	18	12651
355	19	11048
355	20	11252
355	21	11884
355	22	11474
355	23	11722
355	24	12713
355	25	13823
355	26	14364
355	27	14880
355	28	15148
355	29	16271
355	30	17003
355	31	17436
355	32	17698
355	33	18533
355	34	20106
355	35	19979
355	36	21445
355	37	21180
355	38	23614
355	39	23653
355	40	24476
355	41	25489
355	42	25953
355	43	26299
355	44	27986
355	45	28665
355	46	30589
355	47	32846
355	48	32867
355	49	34725
355	50	35226
355	51	36722
355	52	39076
355	53	40711
355	54	44063
355	55	45834
355	56	49016
355	57	53194
355	58	57131
355	59	60329
355	60	65591
355	61	72505
355	62	80228
355	63	88493
355	64	98406
355	65	109625
355	66	124744
355	67	142597
355	68	162578
355	69	191449
355	70	225139
355	71	263760
355	72	309472
355	73	370193
355	74	439092
355	75	518203
355	76	619183
355	77	740509
355	78	879149
355	79	1045848
355	80	1235271
355	81	1455869
355	82	1709412
355	83	1995253
355	84	2317507
355	85	2692631
355	86	3105624
355	87	3549724
355	88	4040870
355	89	4573855
355	90	5154254
355	91	5773152
355	92	6449619
355	93	7155799
355	94	7911264
355	95	8712278
355	96	9533199
355	97	10410959
355	98	11295336
355	99	12207872
355	100	13148431
355	101	14079663
355	102	15046558
355	103	16013341
355	104	16995271
355	105	17994556
355	106	19015531
355	107	19998323
355	108	20959590
355	109	21933377
355	110	22854081
355	111	23759442
355	112	24675079
355	113	25518683
355	114	26321861
355	115	27126956
355	116	27887767
355	117	28619363
355	118	29312815
355	119	29936143
355	120	30563603
355	121	31143932
355	122	31687547
355	123	32162549
355	124	32582901
355	125	32980981
355	126	33307000
355	127	33595448
355	128	33821884
355	129	34053027
355	130	34222610
355	131	34333000
355	132	34406785
355	133	34435270
355	134	34441988
355	135	34420098
355	136	34361588
355	137	34243982
355	138	34131447
355	139	33965938
355	140	33768320
355	141	33567573
355	142	33354608
355	143	33086004
355	144	32785807
355	145	32516312
355	146	32216628
355	147	31884825
355	148	31532565
355	149	31184741
355	150	30806975
355	151	30443111
355	152	30069384
355	153	29651752
355	154	29263480
355	155	28859601
355	156	28475985
355	157	28117130
355	158	27710385
355	159	27323905
355	160	26961024
355	161	26593859
355	162	26201427
355	163	25824812
355	164	25437870
355	165	25061593
355	166	24649601
355	167	24223790
355	168	23788387
355	169	23384640
355	170	22944878
355	171	22464788
355	172	21957343
355	173	21438743
355	174	20867577
355	175	20250483
355	176	19588494
355	177	18910447
355	178	18225902
355	179	17515303
355	180	16819865
355	181	16120628
355	182	15414465
355	183	14712562
355	184	14016910
355	185	13336154
355	186	12695154
355	187	12068063
355	188	11458595
355	189	10874112
355	190	10328435
355	191	9800221
355	192	9304414
355	193	8819937
355	194	8389575
355	195	7996630
355	196	7636211
355	197	7289334
355	198	6976238
355	199	6675825
355	200	6384047
355	201	6119778
355	202	5870981
355	203	5646632
355	204	5425307
355	205	5224078
355	206	5045657
355	207	4867600
355	208	4689535
355	209	4518196
355	210	4368839
355	211	4228675
355	212	4088002
355	213	3932220
355	214	3794692
355	215	3660526
355	216	3517034
355	217	3384615
355	218	3255570
355	219	3130969
355	220	3005363
355	221	2882818
355	222	2767649
355	223	2649743
355	224	2525941
355	225	2408580
355	226	2290692
355	227	2173901
355	228	2062233
355	229	1951838
355	230	1843849
355	231	1744854
355	232	1644662
355	233	1553532
355	234	1461031
355	235	1369843
355	236	1288554
355	237	1214016
355	238	1136723
355	239	1068365
355	240	1005092
355	241	942789
355	242	882711
355	243	828857
355	244	777536
355	245	730201
355	246	691615
355	247	654433
355	248	621118
355	249	584948
355	250	556238
355	251	529473
355	252	504675
355	253	483463
355	254	467002
355	255	449272
355	256	434866
355	257	417065
355	258	402191
355	259	388770
355	260	377547
355	261	366706
355	262	355011
355	263	343359
355	264	332920
355	265	326120
355	266	316716
355	267	304117
355	268	294639
355	269	289070
355	270	279032
355	271	263891
355	272	254626
355	273	246673
355	274	236298
355	275	225727
355	276	215874
355	277	205147
355	278	198088
355	279	188080
355	280	178244
355	281	168000
355	282	157408
355	283	148228
355	284	138890
355	285	128360
355	286	117430
355	287	107801
355	288	100425
355	289	91553
355	290	80553
355	291	73056
355	292	65887
355	293	60450
355	294	53972
355	295	48831
355	296	42860
355	297	36784
355	298	33080
355	299	29898
355	300	25990
355	301	21770
355	302	18198
355	303	15471
355	304	12765
355	305	11708
355	306	9158
355	307	7410
355	308	6132
355	309	5388
355	310	4817
355	311	3421
355	312	2957
355	313	2441
355	314	1919
355	315	1435
355	316	986
355	317	947
355	318	890
355	319	745
355	320	569
355	321	396
355	322	415
355	323	306
355	324	161
355	325	97
355	326	79
355	327	67
355	328	85
355	329	96
355	330	73
355	331	75
355	332	60
355	333	55
355	334	34
355	335	29
355	336	42
355	337	64
355	338	28
355	339	29
355	340	67
355	341	27
355	342	8
355	343	7
355	344	3
355	345	0
355	346	0
355	347	0
355	348	0
355	349	0
355	350	0
355	351	0
355	352	0
355	353	0
355	354	0
355	355	0
