length	num_GC	number_of_fragments
126	0	144232
126	1	115042
126	2	129251
126	3	138170
126	4	159046
126	5	169530
126	6	176726
126	7	185366
126	8	191788
126	9	202024
126	10	214710
126	11	230743
126	12	262205
126	13	288188
126	14	333481
126	15	395661
126	16	477008
126	17	596182
126	18	786932
126	19	1065741
126	20	1491635
126	21	2111774
126	22	3028247
126	23	4348477
126	24	6202765
126	25	8730057
126	26	12064214
126	27	16357201
126	28	21690245
126	29	28151359
126	30	35765855
126	31	44399176
126	32	53905997
126	33	64100923
126	34	74725200
126	35	85499205
126	36	96129849
126	37	106399165
126	38	116071521
126	39	125024741
126	40	133173997
126	41	140306867
126	42	146247677
126	43	150929783
126	44	154193684
126	45	156072420
126	46	156655238
126	47	155954682
126	48	153955742
126	49	150920934
126	50	147035924
126	51	142528486
126	52	137774461
126	53	132942056
126	54	128243028
126	55	123577908
126	56	119169906
126	57	115221998
126	58	111843675
126	59	109179307
126	60	107230838
126	61	105758847
126	62	104176251
126	63	101826083
126	64	97948980
126	65	92379167
126	66	85519243
126	67	77900259
126	68	70259469
126	69	63096612
126	70	56551771
126	71	50518297
126	72	44803803
126	73	39503601
126	74	34514275
126	75	29980261
126	76	25932557
126	77	22438488
126	78	19477375
126	79	16932159
126	80	14694261
126	81	12700843
126	82	10916598
126	83	9320635
126	84	7927134
126	85	6700696
126	86	5645157
126	87	4742114
126	88	3990662
126	89	3370269
126	90	2855613
126	91	2433772
126	92	2094262
126	93	1815582
126	94	1580425
126	95	1406584
126	96	1268732
126	97	1153233
126	98	1059460
126	99	953840
126	100	848848
126	101	730017
126	102	623874
126	103	530021
126	104	443176
126	105	359236
126	106	279726
126	107	212012
126	108	155621
126	109	113811
126	110	80666
126	111	57192
126	112	40270
126	113	27319
126	114	17882
126	115	12349
126	116	7847
126	117	4901
126	118	3156
126	119	1803
126	120	956
126	121	565
126	122	365
126	123	156
126	124	85
126	125	61
126	126	42
