length	num_GC	number_of_fragments
227	0	6466
227	1	7263
227	2	8463
227	3	10171
227	4	9724
227	5	10148
227	6	11808
227	7	13891
227	8	14855
227	9	16046
227	10	17708
227	11	18915
227	12	20068
227	13	20648
227	14	19965
227	15	20120
227	16	21095
227	17	23512
227	18	24010
227	19	26266
227	20	27293
227	21	29292
227	22	32303
227	23	35397
227	24	37342
227	25	40664
227	26	43454
227	27	46541
227	28	49269
227	29	53001
227	30	58593
227	31	65341
227	32	73333
227	33	82556
227	34	94124
227	35	105616
227	36	121275
227	37	144172
227	38	171804
227	39	210107
227	40	257805
227	41	323175
227	42	407317
227	43	517519
227	44	653684
227	45	826625
227	46	1050550
227	47	1334046
227	48	1685207
227	49	2109277
227	50	2628888
227	51	3239475
227	52	3954631
227	53	4784273
227	54	5713901
227	55	6771032
227	56	7945669
227	57	9220149
227	58	10592738
227	59	12078535
227	60	13657550
227	61	15304603
227	62	16983690
227	63	18737078
227	64	20509227
227	65	22287283
227	66	24044097
227	67	25747635
227	68	27410396
227	69	29040627
227	70	30601486
227	71	32042126
227	72	33411825
227	73	34707142
227	74	35870714
227	75	36929863
227	76	37883922
227	77	38712376
227	78	39421396
227	79	40040630
227	80	40468931
227	81	40794204
227	82	40995421
227	83	41081380
227	84	41076332
227	85	41014589
227	86	40856303
227	87	40613157
227	88	40306315
227	89	39946097
227	90	39498819
227	91	39012994
227	92	38498471
227	93	37949598
227	94	37363979
227	95	36778137
227	96	36114441
227	97	35469465
227	98	34792585
227	99	34069970
227	100	33318116
227	101	32554580
227	102	31763168
227	103	30954024
227	104	30106095
227	105	29235553
227	106	28347581
227	107	27426291
227	108	26517345
227	109	25583062
227	110	24627224
227	111	23663231
227	112	22709591
227	113	21747471
227	114	20782055
227	115	19814691
227	116	18870056
227	117	17905433
227	118	16944880
227	119	16027380
227	120	15139322
227	121	14286247
227	122	13463834
227	123	12653172
227	124	11879996
227	125	11137074
227	126	10456689
227	127	9841671
227	128	9266669
227	129	8731366
227	130	8230997
227	131	7777039
227	132	7358809
227	133	6970546
227	134	6610174
227	135	6277054
227	136	5966512
227	137	5654479
227	138	5358366
227	139	5064732
227	140	4782863
227	141	4514270
227	142	4244305
227	143	3981898
227	144	3710777
227	145	3446753
227	146	3191878
227	147	2947012
227	148	2706743
227	149	2485052
227	150	2271097
227	151	2060878
227	152	1872528
227	153	1698447
227	154	1539689
227	155	1393289
227	156	1256200
227	157	1134893
227	158	1023920
227	159	934334
227	160	859789
227	161	792906
227	162	730600
227	163	680908
227	164	639404
227	165	597162
227	166	564440
227	167	530631
227	168	502200
227	169	480431
227	170	460401
227	171	435526
227	172	413554
227	173	388182
227	174	369600
227	175	351030
227	176	333128
227	177	312326
227	178	292721
227	179	274758
227	180	255071
227	181	233516
227	182	212076
227	183	192347
227	184	172642
227	185	152955
227	186	134241
227	187	118056
227	188	101740
227	189	87685
227	190	75364
227	191	63659
227	192	53339
227	193	44325
227	194	36281
227	195	28986
227	196	23177
227	197	18536
227	198	14460
227	199	11784
227	200	9150
227	201	7165
227	202	4494
227	203	3303
227	204	2518
227	205	1873
227	206	1231
227	207	1084
227	208	961
227	209	735
227	210	469
227	211	290
227	212	153
227	213	120
227	214	96
227	215	94
227	216	79
227	217	47
227	218	37
227	219	17
227	220	16
227	221	2
227	222	10
227	223	2
227	224	3
227	225	2
227	226	0
227	227	0
