length	num_GC	number_of_fragments
53	0	49846
53	1	94370
53	2	171542
53	3	294925
53	4	525587
53	5	969587
53	6	1842615
53	7	3453800
53	8	6247123
53	9	10700812
53	10	17223458
53	11	25896858
53	12	36503115
53	13	48350139
53	14	60514223
53	15	71901216
53	16	81524316
53	17	88692615
53	18	93004397
53	19	94432279
53	20	93156582
53	21	89693598
53	22	84528867
53	23	78220558
53	24	71318309
53	25	64320570
53	26	57474638
53	27	51038467
53	28	45100551
53	29	39666940
53	30	34651685
53	31	29950000
53	32	25451598
53	33	21143880
53	34	17053195
53	35	13261809
53	36	9948506
53	37	7163374
53	38	4987833
53	39	3405688
53	40	2342750
53	41	1660101
53	42	1210509
53	43	885599
53	44	633025
53	45	428547
53	46	268669
53	47	156332
53	48	83137
53	49	40594
53	50	16687
53	51	6179
53	52	2202
53	53	538
