length	num_GC	number_of_fragments
66	0	389740
66	1	349594
66	2	463782
66	3	548220
66	4	702952
66	5	907006
66	6	1300540
66	7	1965576
66	8	3204222
66	9	5377322
66	10	9126778
66	11	15190068
66	12	24411238
66	13	37574754
66	14	55144678
66	15	77080582
66	16	102753756
66	17	130847448
66	18	159637686
66	19	187533762
66	20	212533838
66	21	233407716
66	22	249154682
66	23	259154242
66	24	263317952
66	25	262220794
66	26	256665668
66	27	247932642
66	28	236535414
66	29	222795674
66	30	206869820
66	31	189402686
66	32	171781502
66	33	156045254
66	34	143694880
66	35	135064066
66	36	128602552
66	37	121051388
66	38	109271374
66	39	92726262
66	40	73837632
66	41	55997794
66	42	41312306
66	43	30115604
66	44	21813992
66	45	15739106
66	46	11345698
66	47	8144634
66	48	5884456
66	49	4329494
66	50	3246880
66	51	2490658
66	52	1964212
66	53	1591150
66	54	1268602
66	55	964218
66	56	678124
66	57	434370
66	58	264898
66	59	157062
66	60	89390
66	61	47280
66	62	23200
66	63	10512
66	64	4478
66	65	1718
66	66	848
