length	num_GC	number_of_fragments
229	0	43292
229	1	37939
229	2	42635
229	3	52436
229	4	49285
229	5	55981
229	6	60793
229	7	62731
229	8	66334
229	9	67058
229	10	71917
229	11	74682
229	12	74956
229	13	73089
229	14	72545
229	15	74692
229	16	75781
229	17	78149
229	18	76974
229	19	80677
229	20	81005
229	21	83260
229	22	85560
229	23	89970
229	24	93542
229	25	98229
229	26	102240
229	27	108281
229	28	113005
229	29	119586
229	30	126488
229	31	136100
229	32	149136
229	33	162197
229	34	180350
229	35	197054
229	36	221029
229	37	254663
229	38	295071
229	39	351138
229	40	420378
229	41	518703
229	42	649186
229	43	821146
229	44	1046786
229	45	1329170
229	46	1703899
229	47	2189821
229	48	2800980
229	49	3561975
229	50	4502663
229	51	5661958
229	52	7028180
229	53	8650496
229	54	10530493
229	55	12690148
229	56	15125223
229	57	17836553
229	58	20810009
229	59	24037153
229	60	27527674
229	61	31174284
229	62	34982380
229	63	38901746
229	64	42896181
229	65	46957792
229	66	50981006
229	67	54963802
229	68	58838891
229	69	62605141
229	70	66274164
229	71	69802465
229	72	73169075
229	73	76384312
229	74	79376419
229	75	82134898
229	76	84690381
229	77	86995842
229	78	89022515
229	79	90826385
229	80	92350421
229	81	93555098
229	82	94537970
229	83	95248265
229	84	95601753
229	85	95645544
229	86	95390985
229	87	94803369
229	88	93922447
229	89	92837781
229	90	91595912
229	91	90293633
229	92	88936706
229	93	87522575
229	94	86078483
229	95	84605351
229	96	83138285
229	97	81624936
229	98	80190610
229	99	78805103
229	100	77437424
229	101	76048081
229	102	74673695
229	103	73253522
229	104	71815911
229	105	70333324
229	106	68798510
229	107	67135084
229	108	65412277
229	109	63626480
229	110	61743497
229	111	59788786
229	112	57850426
229	113	55968171
229	114	54087278
229	115	52262415
229	116	50448349
229	117	48693728
229	118	46931839
229	119	45156273
229	120	43383401
229	121	41512308
229	122	39520005
229	123	37304108
229	124	34893741
229	125	32359981
229	126	29744852
229	127	27160541
229	128	24693796
229	129	22436682
229	130	20369945
229	131	18522354
229	132	16894015
229	133	15465137
229	134	14183901
229	135	13039802
229	136	12056713
229	137	11192104
229	138	10414336
229	139	9709123
229	140	9067513
229	141	8464499
229	142	7908095
229	143	7375221
229	144	6876638
229	145	6398204
229	146	5924295
229	147	5478992
229	148	5057010
229	149	4646860
229	150	4261156
229	151	3905089
229	152	3546608
229	153	3219233
229	154	2922213
229	155	2662612
229	156	2424164
229	157	2209604
229	158	2015046
229	159	1844830
229	160	1693716
229	161	1569584
229	162	1455280
229	163	1342604
229	164	1241914
229	165	1161757
229	166	1077045
229	167	996301
229	168	929717
229	169	863508
229	170	809937
229	171	762805
229	172	712770
229	173	665046
229	174	622739
229	175	583044
229	176	548512
229	177	516288
229	178	490071
229	179	459830
229	180	439445
229	181	415934
229	182	395295
229	183	365040
229	184	331174
229	185	296970
229	186	261856
229	187	226817
229	188	191541
229	189	160689
229	190	136094
229	191	113470
229	192	96423
229	193	80106
229	194	66353
229	195	55274
229	196	44169
229	197	35332
229	198	28737
229	199	22919
229	200	18011
229	201	14293
229	202	10803
229	203	8506
229	204	5692
229	205	4474
229	206	3432
229	207	2427
229	208	1630
229	209	1834
229	210	1330
229	211	1050
229	212	867
229	213	443
229	214	458
229	215	300
229	216	217
229	217	230
229	218	95
229	219	65
229	220	43
229	221	109
229	222	8
229	223	0
229	224	0
229	225	0
229	226	0
229	227	0
229	228	0
229	229	0
