length	num_GC	number_of_fragments
356	0	10991
356	1	12303
356	2	14965
356	3	18836
356	4	16734
356	5	21354
356	6	23235
356	7	24851
356	8	26062
356	9	26937
356	10	28871
356	11	33753
356	12	33056
356	13	34503
356	14	34076
356	15	32905
356	16	33979
356	17	35163
356	18	36513
356	19	37318
356	20	35947
356	21	36459
356	22	35922
356	23	35592
356	24	36343
356	25	37107
356	26	37325
356	27	38467
356	28	37405
356	29	38946
356	30	40171
356	31	39648
356	32	39693
356	33	41026
356	34	41245
356	35	41995
356	36	44095
356	37	43077
356	38	46567
356	39	47021
356	40	46482
356	41	48841
356	42	48566
356	43	49475
356	44	51573
356	45	53286
356	46	55805
356	47	58315
356	48	59792
356	49	61712
356	50	63229
356	51	63772
356	52	66944
356	53	68209
356	54	74734
356	55	77413
356	56	82675
356	57	87829
356	58	92808
356	59	97608
356	60	103189
356	61	111643
356	62	121816
356	63	132193
356	64	143965
356	65	158657
356	66	177593
356	67	202067
356	68	230519
356	69	266105
356	70	315616
356	71	371052
356	72	438098
356	73	524839
356	74	631783
356	75	755888
356	76	906669
356	77	1095344
356	78	1315650
356	79	1583954
356	80	1896473
356	81	2261010
356	82	2684420
356	83	3175019
356	84	3730720
356	85	4389254
356	86	5130581
356	87	5939177
356	88	6837535
356	89	7839182
356	90	8936848
356	91	10118276
356	92	11389720
356	93	12761590
356	94	14221060
356	95	15788112
356	96	17412181
356	97	19109021
356	98	20857688
356	99	22647448
356	100	24479403
356	101	26295909
356	102	28135366
356	103	30012236
356	104	31917221
356	105	33816102
356	106	35755087
356	107	37624960
356	108	39463129
356	109	41290068
356	110	43058311
356	111	44790151
356	112	46564554
356	113	48238627
356	114	49804883
356	115	51359478
356	116	52901270
356	117	54370554
356	118	55778751
356	119	57087086
356	120	58338097
356	121	59518616
356	122	60638270
356	123	61634049
356	124	62505551
356	125	63336819
356	126	64031920
356	127	64639694
356	128	65169135
356	129	65618676
356	130	66045284
356	131	66338099
356	132	66537953
356	133	66636503
356	134	66631821
356	135	66524848
356	136	66329736
356	137	66002536
356	138	65606129
356	139	65137745
356	140	64583123
356	141	63970834
356	142	63318289
356	143	62593513
356	144	61790612
356	145	60982596
356	146	60253147
356	147	59454835
356	148	58742482
356	149	58072235
356	150	57443156
356	151	56866481
356	152	56340624
356	153	55740584
356	154	55168580
356	155	54568114
356	156	53960807
356	157	53337068
356	158	52684320
356	159	52007990
356	160	51315126
356	161	50652991
356	162	49922403
356	163	49212486
356	164	48491951
356	165	47764367
356	166	46984779
356	167	46182433
356	168	45318280
356	169	44482949
356	170	43633143
356	171	42715799
356	172	41724454
356	173	40740159
356	174	39710923
356	175	38579586
356	176	37401339
356	177	36164043
356	178	34924138
356	179	33664935
356	180	32394960
356	181	31087652
356	182	29793669
356	183	28496200
356	184	27192091
356	185	25901082
356	186	24650018
356	187	23426407
356	188	22237308
356	189	21079236
356	190	19964980
356	191	18903887
356	192	17855024
356	193	16875952
356	194	15931473
356	195	15072991
356	196	14273216
356	197	13505101
356	198	12790621
356	199	12116902
356	200	11470517
356	201	10863622
356	202	10303669
356	203	9793567
356	204	9322130
356	205	8882879
356	206	8456856
356	207	8096638
356	208	7737220
356	209	7385331
356	210	7067154
356	211	6781087
356	212	6521033
356	213	6264602
356	214	5997815
356	215	5762103
356	216	5533977
356	217	5303143
356	218	5093615
356	219	4874097
356	220	4676534
356	221	4478114
356	222	4287557
356	223	4105236
356	224	3917516
356	225	3732191
356	226	3553516
356	227	3380097
356	228	3207928
356	229	3044770
356	230	2876876
356	231	2712733
356	232	2560456
356	233	2415823
356	234	2278438
356	235	2132292
356	236	2002932
356	237	1882394
356	238	1768888
356	239	1656214
356	240	1561695
356	241	1466973
356	242	1374950
356	243	1293740
356	244	1216278
356	245	1146981
356	246	1086050
356	247	1031937
356	248	978932
356	249	930615
356	250	881151
356	251	842452
356	252	806094
356	253	767638
356	254	735837
356	255	708619
356	256	678392
356	257	647693
356	258	615513
356	259	590740
356	260	566150
356	261	541459
356	262	521081
356	263	499161
356	264	475543
356	265	456676
356	266	438071
356	267	419379
356	268	398727
356	269	384333
356	270	370543
356	271	353557
356	272	333185
356	273	320160
356	274	307113
356	275	291196
356	276	276990
356	277	264177
356	278	253298
356	279	243365
356	280	235034
356	281	225018
356	282	215377
356	283	204229
356	284	193203
356	285	183399
356	286	171803
356	287	155108
356	288	140983
356	289	129096
356	290	114779
356	291	100611
356	292	87533
356	293	77524
356	294	67721
356	295	59065
356	296	52291
356	297	44900
356	298	38643
356	299	34779
356	300	30986
356	301	27310
356	302	22767
356	303	19416
356	304	16153
356	305	13621
356	306	12236
356	307	9710
356	308	8465
356	309	6583
356	310	5892
356	311	4735
356	312	3351
356	313	2762
356	314	2452
356	315	2095
356	316	1619
356	317	1279
356	318	1123
356	319	948
356	320	811
356	321	549
356	322	368
356	323	398
356	324	293
356	325	197
356	326	240
356	327	176
356	328	92
356	329	111
356	330	253
356	331	217
356	332	124
356	333	304
356	334	103
356	335	49
356	336	8
356	337	25
356	338	36
356	339	13
356	340	14
356	341	31
356	342	5
356	343	0
356	344	0
356	345	0
356	346	0
356	347	0
356	348	0
356	349	0
356	350	0
356	351	0
356	352	0
356	353	0
356	354	0
356	355	0
356	356	0
