length	num_GC	number_of_fragments
66	0	31685
66	1	48364
66	2	74792
66	3	109644
66	4	166083
66	5	253290
66	6	412021
66	7	692375
66	8	1194823
66	9	2061612
66	10	3530248
66	11	5855220
66	12	9301574
66	13	14112701
66	14	20364337
66	15	27955077
66	16	36572453
66	17	45731035
66	18	54811717
66	19	63256116
66	20	70474175
66	21	76093221
66	22	79921957
66	23	81916737
66	24	82160215
66	25	80844023
66	26	78125457
66	27	74385113
66	28	69870056
66	29	64934613
66	30	59752864
66	31	54583540
66	32	49547905
66	33	44799593
66	34	40414240
66	35	36402505
66	36	32721342
66	37	29328922
66	38	26132997
66	39	23076944
66	40	20105844
66	41	17198341
66	42	14384524
66	43	11714790
66	44	9271699
66	45	7140860
66	46	5367069
66	47	3931362
66	48	2857961
66	49	2102904
66	50	1582352
66	51	1226041
66	52	970089
66	53	770862
66	54	597389
66	55	445970
66	56	317385
66	57	210759
66	58	132860
66	59	80010
66	60	44284
66	61	22643
66	62	10219
66	63	4163
66	64	1745
66	65	688
66	66	182
