length	num_GC	number_of_fragments
229	0	6364
229	1	7195
229	2	8336
229	3	10115
229	4	9531
229	5	10046
229	6	11574
229	7	13670
229	8	14678
229	9	15722
229	10	17495
229	11	18629
229	12	19762
229	13	20497
229	14	19931
229	15	20075
229	16	20474
229	17	23199
229	18	23406
229	19	25850
229	20	26942
229	21	28484
229	22	31231
229	23	34446
229	24	36614
229	25	39468
229	26	42193
229	27	45314
229	28	47846
229	29	51547
229	30	55769
229	31	62811
229	32	69848
229	33	78313
229	34	89230
229	35	99773
229	36	113432
229	37	133146
229	38	157531
229	39	192465
229	40	233448
229	41	289952
229	42	364513
229	43	460288
229	44	583963
229	45	734852
229	46	930064
229	47	1184962
229	48	1493844
229	49	1878221
229	50	2341017
229	51	2903143
229	52	3553617
229	53	4311618
229	54	5177442
229	55	6158564
229	56	7260458
229	57	8461093
229	58	9763123
229	59	11169634
229	60	12683158
229	61	14276141
229	62	15915038
229	63	17607557
229	64	19340430
229	65	21104717
229	66	22862050
229	67	24575417
229	68	26241656
229	69	27877489
229	70	29467603
229	71	30969697
229	72	32367821
229	73	33703445
229	74	34936929
229	75	36056789
229	76	37074750
229	77	37987796
229	78	38765767
229	79	39441506
229	80	40008089
229	81	40399465
229	82	40691097
229	83	40867951
229	84	40926324
229	85	40902893
229	86	40821223
229	87	40657128
229	88	40408854
229	89	40094384
229	90	39715467
229	91	39281137
229	92	38794666
229	93	38273926
229	94	37733437
229	95	37149965
229	96	36559855
229	97	35907595
229	98	35266480
229	99	34585537
229	100	33880909
229	101	33115349
229	102	32353788
229	103	31571633
229	104	30762696
229	105	29924062
229	106	29069435
229	107	28169442
229	108	27268937
229	109	26374615
229	110	25446360
229	111	24489877
229	112	23550213
229	113	22607690
229	114	21643526
229	115	20698902
229	116	19741575
229	117	18795845
229	118	17851084
229	119	16899830
229	120	15989380
229	121	15110579
229	122	14268450
229	123	13453187
229	124	12653264
229	125	11882597
229	126	11143318
229	127	10466829
229	128	9842966
229	129	9275877
229	130	8741024
229	131	8238035
229	132	7784991
229	133	7368810
229	134	6978851
229	135	6619344
229	136	6286282
229	137	5975845
229	138	5671672
229	139	5376113
229	140	5085278
229	141	4805488
229	142	4540040
229	143	4270819
229	144	4012454
229	145	3751403
229	146	3483930
229	147	3231914
229	148	2992386
229	149	2751546
229	150	2525079
229	151	2316321
229	152	2107430
229	153	1914550
229	154	1736927
229	155	1579413
229	156	1430454
229	157	1293917
229	158	1165971
229	159	1054510
229	160	958315
229	161	879610
229	162	813204
229	163	749686
229	164	693820
229	165	651807
229	166	610667
229	167	573412
229	168	543125
229	169	510252
229	170	486155
229	171	466697
229	172	445432
229	173	421344
229	174	398251
229	175	376193
229	176	357844
229	177	340092
229	178	323374
229	179	299502
229	180	283737
229	181	263100
229	182	245222
229	183	222820
229	184	202183
229	185	183088
229	186	163579
229	187	144640
229	188	126447
229	189	110672
229	190	96106
229	191	81971
229	192	70455
229	193	59591
229	194	49601
229	195	41327
229	196	33421
229	197	26844
229	198	21425
229	199	16927
229	200	13611
229	201	10942
229	202	8371
229	203	6354
229	204	4001
229	205	3035
229	206	2350
229	207	1691
229	208	1067
229	209	1111
229	210	879
229	211	675
229	212	430
229	213	245
229	214	162
229	215	104
229	216	85
229	217	100
229	218	79
229	219	49
229	220	34
229	221	15
229	222	16
229	223	2
229	224	10
229	225	2
229	226	3
229	227	2
229	228	0
229	229	0
