length	num_GC	number_of_fragments
158	0	10885
158	1	11819
158	2	14123
158	3	15756
158	4	16476
158	5	20007
158	6	23014
158	7	25069
158	8	28433
158	9	30428
158	10	31076
158	11	32353
158	12	36519
158	13	40111
158	14	45622
158	15	52268
158	16	59123
158	17	66567
158	18	76515
158	19	89336
158	20	105567
158	21	123925
158	22	151879
158	23	191210
158	24	248922
158	25	326114
158	26	437948
158	27	586344
158	28	794501
158	29	1083952
158	30	1475518
158	31	1992411
158	32	2659183
158	33	3511470
158	34	4561366
158	35	5854578
158	36	7394875
158	37	9183796
158	38	11210862
158	39	13488864
158	40	15959305
158	41	18610291
158	42	21405769
158	43	24283815
158	44	27164673
158	45	30041336
158	46	32815723
158	47	35464232
158	48	37949219
158	49	40211896
158	50	42290955
158	51	44094381
158	52	45638111
158	53	46899281
158	54	47907593
158	55	48634600
158	56	49085572
158	57	49264154
158	58	49181744
158	59	48875869
158	60	48359433
158	61	47701068
158	62	46868069
158	63	45910233
158	64	44821067
158	65	43672025
158	66	42479637
158	67	41256515
158	68	39997746
158	69	38750662
158	70	37495219
158	71	36223159
158	72	35006020
158	73	33779304
158	74	32540967
158	75	31297441
158	76	30045081
158	77	28760347
158	78	27416882
158	79	26039760
158	80	24630713
158	81	23192370
158	82	21735594
158	83	20289033
158	84	18845585
158	85	17482384
158	86	16177918
158	87	14988266
158	88	13880056
158	89	12848699
158	90	11933950
158	91	11098583
158	92	10327759
158	93	9618460
158	94	8953499
158	95	8334316
158	96	7746698
158	97	7167471
158	98	6628506
158	99	6102331
158	100	5579347
158	101	5064719
158	102	4574078
158	103	4094944
158	104	3651465
158	105	3222667
158	106	2821853
158	107	2460336
158	108	2130406
158	109	1842065
158	110	1596791
158	111	1388281
158	112	1210030
158	113	1070003
158	114	951360
158	115	852408
158	116	772835
158	117	704734
158	118	653501
158	119	604202
158	120	559999
158	121	519595
158	122	480766
158	123	443586
158	124	405043
158	125	365777
158	126	330009
158	127	294314
158	128	258891
158	129	225404
158	130	192657
158	131	162231
158	132	135199
158	133	110656
158	134	88503
158	135	70209
158	136	53867
158	137	40905
158	138	30416
158	139	22332
158	140	16224
158	141	11369
158	142	8143
158	143	5368
158	144	3675
158	145	2517
158	146	1554
158	147	1036
158	148	622
158	149	349
158	150	165
158	151	111
158	152	53
158	153	29
158	154	8
158	155	18
158	156	31
158	157	26
158	158	13
