length	num_GC	number_of_fragments
57	0	518816
57	1	506036
57	2	702118
57	3	893990
57	4	1267086
57	5	1891970
57	6	3164444
57	7	5505736
57	8	9780952
57	9	17097986
57	10	28696394
57	11	45625162
57	12	68516154
57	13	97130172
57	14	130247352
57	15	165670722
57	16	200673528
57	17	232773998
57	18	259840878
57	19	280112420
57	20	292320196
57	21	296691956
57	22	293995952
57	23	285217064
57	24	270677250
57	25	251424496
57	26	229507676
57	27	207457062
57	28	187925976
57	29	172267952
57	30	160701886
57	31	151131408
57	32	139862880
57	33	123836030
57	34	102695288
57	35	79487858
57	36	58059622
57	37	40841908
57	38	28175876
57	39	19302996
57	40	13179936
57	41	9005700
57	42	6186016
57	43	4339162
57	44	3146208
57	45	2360708
57	46	1825482
57	47	1392208
57	48	996448
57	49	637218
57	50	378598
57	51	214346
57	52	115208
57	53	57368
57	54	25558
57	55	10318
57	56	3886
57	57	1568
