length	num_GC	number_of_fragments
294	0	3855
294	1	4265
294	2	6116
294	3	7756
294	4	6574
294	5	7873
294	6	6782
294	7	7684
294	8	9285
294	9	10984
294	10	11065
294	11	11372
294	12	12049
294	13	13015
294	14	13882
294	15	16296
294	16	15436
294	17	14075
294	18	14158
294	19	14874
294	20	16022
294	21	17440
294	22	17020
294	23	18361
294	24	19376
294	25	21170
294	26	21495
294	27	21276
294	28	23289
294	29	25253
294	30	25986
294	31	26771
294	32	28767
294	33	30872
294	34	32206
294	35	33863
294	36	33919
294	37	34735
294	38	38138
294	39	40114
294	40	42867
294	41	45120
294	42	49231
294	43	51990
294	44	55626
294	45	60776
294	46	66755
294	47	73676
294	48	80934
294	49	90430
294	50	102077
294	51	116605
294	52	134949
294	53	154635
294	54	182686
294	55	215258
294	56	258287
294	57	313814
294	58	378720
294	59	460359
294	60	562995
294	61	692479
294	62	845831
294	63	1026971
294	64	1242486
294	65	1517321
294	66	1827919
294	67	2186425
294	68	2606276
294	69	3076910
294	70	3614066
294	71	4220308
294	72	4892629
294	73	5621145
294	74	6417726
294	75	7289944
294	76	8223323
294	77	9213668
294	78	10247816
294	79	11343497
294	80	12485444
294	81	13672736
294	82	14859002
294	83	16102675
294	84	17354236
294	85	18586553
294	86	19841925
294	87	21103317
294	88	22349041
294	89	23568303
294	90	24740953
294	91	25867551
294	92	26977762
294	93	28059138
294	94	29054269
294	95	30005312
294	96	30921191
294	97	31759855
294	98	32563609
294	99	33301956
294	100	33963084
294	101	34561618
294	102	35082242
294	103	35557563
294	104	35946296
294	105	36274339
294	106	36546588
294	107	36727398
294	108	36850362
294	109	36936344
294	110	36947619
294	111	36896030
294	112	36811577
294	113	36708611
294	114	36540355
294	115	36331593
294	116	36100868
294	117	35818266
294	118	35512332
294	119	35176138
294	120	34787007
294	121	34418198
294	122	33981169
294	123	33547438
294	124	33053993
294	125	32546979
294	126	32028512
294	127	31494980
294	128	30926323
294	129	30335304
294	130	29762120
294	131	29165137
294	132	28552899
294	133	27938766
294	134	27338340
294	135	26723953
294	136	26089416
294	137	25475212
294	138	24861270
294	139	24229175
294	140	23619686
294	141	23019859
294	142	22426883
294	143	21813292
294	144	21203562
294	145	20576473
294	146	19963501
294	147	19319972
294	148	18675198
294	149	18020647
294	150	17343293
294	151	16656671
294	152	15968229
294	153	15287680
294	154	14598007
294	155	13883878
294	156	13195149
294	157	12510055
294	158	11837805
294	159	11180716
294	160	10548397
294	161	9934521
294	162	9362554
294	163	8840699
294	164	8358642
294	165	7906878
294	166	7489136
294	167	7122099
294	168	6766688
294	169	6445081
294	170	6156365
294	171	5878663
294	172	5611922
294	173	5385255
294	174	5161980
294	175	4945458
294	176	4732438
294	177	4534088
294	178	4347170
294	179	4154778
294	180	3965967
294	181	3785337
294	182	3612710
294	183	3448220
294	184	3278652
294	185	3107686
294	186	2934301
294	187	2771417
294	188	2607717
294	189	2452829
294	190	2302579
294	191	2155100
294	192	2012397
294	193	1873933
294	194	1737554
294	195	1616655
294	196	1507026
294	197	1397309
294	198	1292910
294	199	1193848
294	200	1112723
294	201	1026811
294	202	946103
294	203	875984
294	204	813129
294	205	755468
294	206	705477
294	207	662748
294	208	624975
294	209	593357
294	210	563446
294	211	534935
294	212	510141
294	213	488852
294	214	469789
294	215	447623
294	216	429276
294	217	415675
294	218	401936
294	219	385758
294	220	371521
294	221	356996
294	222	342860
294	223	327458
294	224	313232
294	225	303939
294	226	291148
294	227	277794
294	228	262071
294	229	248737
294	230	236108
294	231	226881
294	232	213304
294	233	200418
294	234	184930
294	235	173155
294	236	161373
294	237	146392
294	238	132121
294	239	120198
294	240	106733
294	241	95459
294	242	85578
294	243	73572
294	244	64640
294	245	55870
294	246	50503
294	247	44902
294	248	38615
294	249	33083
294	250	27835
294	251	23000
294	252	19438
294	253	15797
294	254	12555
294	255	10805
294	256	8802
294	257	6791
294	258	5343
294	259	4383
294	260	3149
294	261	2457
294	262	2279
294	263	1507
294	264	1124
294	265	957
294	266	806
294	267	603
294	268	566
294	269	454
294	270	289
294	271	211
294	272	181
294	273	105
294	274	103
294	275	84
294	276	64
294	277	68
294	278	50
294	279	36
294	280	33
294	281	43
294	282	39
294	283	25
294	284	9
294	285	8
294	286	2
294	287	10
294	288	1
294	289	6
294	290	1
294	291	3
294	292	2
294	293	0
294	294	0
