length	num_GC	number_of_fragments
60	0	466394
60	1	441104
60	2	602502
60	3	745380
60	4	1016128
60	5	1434936
60	6	2274426
60	7	3792960
60	8	6608486
60	9	11496654
60	10	19546336
60	11	31775976
60	12	49054166
60	13	71730380
60	14	99407498
60	15	130774692
60	16	163844210
60	17	196166278
60	18	225610826
60	19	250405748
60	20	268913192
60	21	280365238
60	22	284629052
60	23	282561376
60	24	275081040
60	25	263132262
60	26	247185210
60	27	228183418
60	28	207679520
60	29	187851766
60	30	170745660
60	31	157618590
60	32	148086728
60	33	139697686
60	34	128786834
60	35	112720506
60	36	92200070
60	37	70720740
60	38	51661172
60	39	36686938
60	40	25731296
60	41	17931400
60	42	12497676
60	43	8688710
60	44	6094768
60	45	4346364
60	46	3183828
60	47	2410696
60	48	1881416
60	49	1475472
60	50	1111370
60	51	757042
60	52	473988
60	53	278594
60	54	158506
60	55	84884
60	56	42228
60	57	18690
60	58	7706
60	59	2964
60	60	1254
