length	num_GC	number_of_fragments
142	0	12354
142	1	13691
142	2	15899
142	3	17790
142	4	20176
142	5	24626
142	6	27782
142	7	30767
142	8	34574
142	9	35360
142	10	39063
142	11	42879
142	12	49944
142	13	57310
142	14	67154
142	15	77718
142	16	92338
142	17	110525
142	18	134489
142	19	167692
142	20	217628
142	21	289546
142	22	390944
142	23	537431
142	24	744708
142	25	1033976
142	26	1437296
142	27	1993093
142	28	2729408
142	29	3679106
142	30	4888530
142	31	6380006
142	32	8194378
142	33	10310416
142	34	12734920
142	35	15454732
142	36	18413522
142	37	21567861
142	38	24862744
142	39	28197265
142	40	31511039
142	41	34724365
142	42	37778608
142	43	40650023
142	44	43226309
142	45	45526660
142	46	47523109
142	47	49143008
142	48	50436434
142	49	51365718
142	50	51991266
142	51	52213878
142	52	52087815
142	53	51708060
142	54	51114002
142	55	50266624
142	56	49219993
142	57	48036198
142	58	46695085
142	59	45259072
142	60	43765457
142	61	42228075
142	62	40708605
142	63	39148270
142	64	37597117
142	65	36076919
142	66	34589130
142	67	33150041
142	68	31738993
142	69	30351179
142	70	28975105
142	71	27562959
142	72	26125371
142	73	24608622
142	74	23030343
142	75	21415477
142	76	19820506
142	77	18293657
142	78	16840064
142	79	15497851
142	80	14267867
142	81	13162370
142	82	12149169
142	83	11242413
142	84	10385881
142	85	9593195
142	86	8860697
142	87	8146473
142	88	7480411
142	89	6827002
142	90	6190273
142	91	5561485
142	92	4968334
142	93	4400652
142	94	3858288
142	95	3357574
142	96	2890070
142	97	2477168
142	98	2111465
142	99	1798084
142	100	1537431
142	101	1322852
142	102	1146922
142	103	1006211
142	104	892954
142	105	804871
142	106	730451
142	107	664322
142	108	610792
142	109	564086
142	110	518264
142	111	469640
142	112	420616
142	113	376747
142	114	333646
142	115	290669
142	116	251225
142	117	213904
142	118	177909
142	119	144939
142	120	115922
142	121	91621
142	122	70148
142	123	52570
142	124	38141
142	125	27990
142	126	19655
142	127	13463
142	128	8929
142	129	6169
142	130	4264
142	131	2491
142	132	1575
142	133	975
142	134	487
142	135	234
142	136	140
142	137	52
142	138	11
142	139	14
142	140	35
142	141	31
142	142	26
